 	X	Y
1	337.538	297.846
2	331.500	297.500
3	329.500	298.500
4	342.500	299.500
5	337.500	245.500
6	327.628	251.546
7	334.500	246.500
8	319.500	247.500
9	338.611	248.500
10	343.000	249.500
11	341.500	251.500
12	317.500	252.500
13	339.500	252.500
14	326.500	256.500
15	332.252	293.608
16	318.500	36.500
17	351.500	37.500
18	345.500	39.500
19	348.500	39.500
20	353.500	39.500
21	363.500	39.500
22	279.500	41.750
23	283.500	40.500
24	315.500	40.500
25	355.900	42.500
26	359.700	42.500
27	345.500	41.500
28	352.167	41.833
29	362.500	41.500
30	282.500	42.500
31	274.500	43.500
32	279.500	44.500
33	362.000	45.000
34	370.500	45.500
35	273.500	46.500
36	359.500	46.500
37	357.500	47.500
38	362.500	47.500
39	315.500	50.500
40	321.500	50.500
41	336.286	51.357
42	374.500	50.500
43	317.500	51.500
44	324.000	51.500
45	301.500	52.500
46	308.500	52.500
47	312.500	52.500
48	316.047	71.401
49	373.500	52.500
50	333.000	53.500
51	367.500	55.500
52	369.500	56.500
53	372.500	57.500
54	375.500	58.500
55	259.000	61.500
56	320.500	74.500
57	402.500	81.500
58	395.500	87.500
59	400.500	92.500
60	403.500	94.500
61	410.000	99.500
62	234.500	102.500
63	412.500	102.500
64	415.000	104.500
65	231.500	105.500
66	302.500	114.500
67	299.500	115.500
68	311.000	115.500
69	419.000	118.000
70	418.000	120.000
71	419.500	123.500
72	419.667	127.000
73	422.750	127.500
74	423.500	131.000
75	420.500	131.500
76	300.500	132.500
77	421.500	133.500
78	302.500	134.500
79	302.940	142.726
80	422.500	138.500
81	223.500	142.500
82	295.500	143.500
83	220.500	144.500
84	222.500	145.000
85	294.500	145.500
86	423.500	145.500
87	295.500	147.500
88	222.500	149.500
89	303.500	149.500
90	305.500	154.500
91	352.500	156.500
92	331.828	237.982
93	299.500	159.500
94	396.500	162.500
95	336.500	169.000
96	436.053	215.214
97	431.500	191.500
98	212.904	221.187
99	305.500	215.500
100	384.500	224.500
101	330.500	248.500
102	329.500	253.500
103	292.000	263.000
104	374.500	271.500
105	373.500	325.500
106	307.500	330.500
107	362.500	335.500
108	360.500	336.500
109	319.500	339.500
110	353.500	340.500
111	348.500	342.500
112	401.853	375.605
113	343.500	347.500
114	342.500	349.500
115	347.000	351.000
116	350.500	352.000
117	353.250	353.000
118	336.500	353.500
119	340.500	353.000
120	345.758	358.081
121	355.500	354.000
122	342.500	356.000
123	344.500	355.000
124	332.500	356.000
125	350.500	355.500
126	359.500	355.500
127	357.500	356.500
128	336.500	358.100
129	355.000	358.000
130	333.500	359.750
131	402.500	358.500
132	353.500	361.750
133	338.333	363.000
134	348.500	362.000
135	333.500	362.500
136	396.500	371.500
137	399.500	371.500
138	393.500	373.500
139	391.500	376.000
140	254.500	376.500
141	255.500	379.500
142	390.500	380.000
143	367.500	381.500
144	362.000	383.000
145	370.500	382.500
146	258.136	388.227
147	364.833	385.833
148	375.500	383.500
149	377.500	384.000
150	391.500	383.500
151	371.964	391.798
152	367.167	388.167
153	364.000	393.500
154	360.500	394.500
155	584.126	448.244
156	574.500	452.500
157	580.382	460.029
158	575.500	456.500
159	595.000	462.000
160	579.500	463.167
161	546.500	466.000
162	589.833	466.167
163	545.587	474.248
164	554.000	467.000
165	556.500	469.500
166	553.500	471.000
167	555.500	473.000
168	537.700	474.700
169	554.500	478.500
