 	X	Y
1	324.052	289.726
2	350.500	284.500
3	315.500	286.500
4	350.000	40.500
5	356.500	40.500
6	308.000	43.000
7	348.109	44.109
8	357.889	47.000
9	370.300	48.500
10	307.000	51.333
11	311.500	49.500
12	346.500	50.500
13	299.500	51.500
14	314.500	52.167
15	344.500	51.500
16	350.500	51.500
17	369.000	52.750
18	374.500	51.500
19	351.000	54.100
20	356.000	52.500
21	363.000	52.500
22	291.500	53.500
23	296.500	53.500
24	304.500	53.500
25	339.153	191.973
26	318.500	53.500
27	360.000	53.500
28	341.500	54.500
29	364.000	54.500
30	372.500	54.500
31	291.500	55.500
32	360.000	56.000
33	370.500	55.500
34	370.500	57.500
35	386.500	62.500
36	260.500	64.500
37	254.500	65.500
38	258.500	65.500
39	264.000	67.000
40	266.500	66.500
41	384.500	66.500
42	253.500	67.500
43	260.500	68.000
44	302.500	67.500
45	386.000	68.000
46	262.500	68.500
47	252.071	70.929
48	256.000	70.000
49	389.500	69.500
50	388.500	71.500
51	246.500	74.500
52	280.500	75.500
53	243.500	77.500
54	282.833	78.500
55	297.500	77.500
56	275.500	78.500
57	284.500	79.500
58	289.500	79.500
59	287.643	82.786
60	292.500	82.500
61	267.500	83.500
62	281.500	83.500
63	294.500	83.500
64	285.500	84.833
65	281.500	85.500
66	386.500	88.500
67	384.500	90.500
68	244.500	93.500
69	294.500	94.500
70	244.500	95.500
71	239.500	97.500
72	243.500	97.500
73	405.500	98.500
74	288.500	99.500
75	387.500	101.500
76	389.500	108.500
77	413.500	109.500
78	391.000	111.000
79	394.000	111.000
80	392.500	113.500
81	420.500	113.500
82	416.000	115.000
83	421.000	116.000
84	416.833	118.167
85	393.833	129.500
86	428.500	135.500
87	391.500	143.500
88	429.000	144.000
89	281.000	150.500
90	430.000	151.000
91	284.500	151.500
92	425.000	161.000
93	427.900	163.500
94	279.500	164.500
95	282.500	164.500
96	380.500	164.500
97	302.500	165.500
98	275.500	167.500
99	285.500	166.500
100	381.500	166.500
101	288.000	168.000
102	272.500	169.500
103	387.500	169.500
104	288.500	170.500
105	293.500	170.500
106	289.500	173.000
107	399.500	177.500
108	265.500	182.500
109	267.500	186.500
110	248.500	187.500
111	267.500	188.500
112	247.500	190.500
113	251.500	190.500
114	249.500	191.500
115	247.500	192.500
116	305.500	194.500
117	248.900	196.700
118	398.400	197.700
119	304.500	199.000
120	395.500	198.500
121	401.000	199.000
122	308.500	200.500
123	395.500	201.000
124	401.500	201.500
125	405.500	201.500
126	400.500	203.500
127	428.500	204.500
128	400.500	205.500
129	211.500	208.500
130	214.762	231.125
131	258.500	212.500
132	410.500	216.500
133	416.000	222.000
134	413.500	223.000
135	422.500	261.500
136	372.500	262.500
137	294.500	267.500
138	376.500	267.500
139	378.167	271.167
140	380.500	271.500
141	359.500	273.500
142	380.500	273.500
143	381.000	275.500
144	382.833	279.056
145	341.500	279.500
146	379.500	280.500
147	381.625	286.375
148	383.500	292.500
149	369.500	316.500
150	362.000	327.000
151	339.500	341.500
152	341.500	342.500
153	330.500	348.500
154	408.000	365.500
155	405.977	383.014
156	405.500	371.500
157	400.500	381.500
158	255.500	382.500
159	256.500	386.500
160	258.500	392.000
161	259.833	395.500
162	403.333	398.667
163	138.929	418.487
164	263.192	403.654
165	402.500	404.500
166	401.500	406.500
167	578.500	438.500
168	585.490	454.946
169	590.500	472.500
170	592.500	472.500
