 	X	Y
1	328.962	296.500
2	331.000	294.500
3	317.500	295.500
4	320.500	296.500
5	323.500	296.500
6	407.901	426.431
7	204.500	394.500
8	200.500	397.500
9	198.833	399.167
10	120.838	431.988
11	454.000	416.000
12	448.500	416.500
13	450.500	416.500
14	446.500	417.500
15	444.500	421.000
16	458.500	421.500
17	440.500	428.000
18	463.500	430.500
19	414.950	450.800
20	482.500	454.500
21	399.500	458.500
22	396.500	459.500
23	489.500	462.500
24	47.682	468.227
25	355.000	470.500
26	41.750	475.000
27	604.500	479.500
28	322.753	299.070
29	322.447	426.940
30	453.430	426.787
31	481.467	456.631
32	427.500	446.500
33	405.553	457.351
34	265.500	460.500
35	191.500	463.500
36	274.500	463.500
37	277.500	464.500
38	289.500	467.700
39	187.000	470.000
40	303.259	470.707
41	371.000	470.000
42	356.919	471.919
43	331.336	473.591
44	498.167	475.767
45	182.667	477.000
46	306.500	32.500
47	294.500	52.500
48	281.900	54.300
49	276.500	54.500
50	317.526	175.428
51	275.500	57.500
52	292.500	63.000
53	266.500	66.500
54	266.500	68.500
55	294.500	70.500
56	321.500	71.500
57	291.500	72.500
58	295.000	74.167
59	308.500	74.000
60	347.500	73.500
61	352.000	74.000
62	347.000	75.500
63	349.500	77.500
64	256.500	91.000
65	358.500	90.500
66	299.000	91.500
67	362.500	93.500
68	256.389	96.500
69	258.500	99.000
70	254.500	102.500
71	249.500	103.500
72	252.333	107.000
73	248.500	105.500
74	323.000	106.000
75	250.500	106.500
76	247.500	107.500
77	321.500	109.500
78	323.500	109.500
79	245.500	110.500
80	323.929	113.929
81	322.500	112.500
82	255.500	114.500
83	246.500	117.500
84	375.500	117.500
85	378.500	121.500
86	380.500	124.500
87	244.500	125.500
88	243.500	127.500
89	241.500	135.500
90	240.500	137.500
91	275.500	137.500
92	239.500	140.500
93	405.500	141.500
94	238.500	142.500
95	388.500	142.500
96	237.000	144.000
97	236.500	146.500
98	389.500	145.500
99	412.500	145.500
100	234.500	147.500
101	415.000	148.000
102	390.500	148.500
103	408.500	148.500
104	233.500	150.500
105	236.500	150.500
106	232.333	154.333
107	235.500	153.000
108	407.500	155.000
109	405.500	155.500
110	416.500	155.500
111	226.500	157.500
112	230.700	158.700
113	417.500	157.500
114	276.500	160.500
115	221.500	161.500
116	218.400	167.200
117	223.500	165.500
118	221.500	169.000
119	398.500	167.500
120	361.000	169.000
121	213.500	169.500
122	356.500	169.500
123	416.800	172.600
124	219.500	172.500
125	286.000	172.500
126	276.000	173.500
127	215.500	175.000
128	424.746	183.992
129	212.500	177.000
130	211.500	184.000
131	438.000	185.000
132	207.500	185.500
133	207.500	188.500
134	206.500	190.500
135	369.500	191.500
136	230.500	193.000
137	448.000	193.000
138	369.500	193.500
139	206.500	195.500
140	371.500	195.500
141	449.500	197.000
142	451.500	195.500
143	451.500	197.500
144	269.500	198.500
145	393.500	198.500
146	269.500	200.500
147	371.500	200.500
148	448.500	200.500
149	267.500	201.500
150	388.000	201.500
151	381.500	202.500
152	203.500	210.000
153	276.500	211.500
154	211.500	212.500
155	292.500	227.500
156	279.500	228.500
157	296.000	228.500
158	298.500	234.500
159	271.500	235.500
160	269.000	237.000
161	274.292	241.125
162	441.750	238.750
163	267.500	239.500
164	431.833	241.833
165	429.500	242.500
166	441.500	242.500
167	432.500	244.500
168	432.678	260.521
169	440.500	244.500
170	222.500	245.500
171	430.000	246.000
172	441.500	246.500
173	428.000	247.500
174	279.500	250.500
175	224.296	266.684
176	441.500	265.500
177	446.500	271.833
178	444.500	274.167
179	224.500	274.500
180	441.500	276.000
181	434.500	276.500
182	436.500	276.500
183	443.500	276.500
184	227.300	278.500
185	430.500	277.500
186	432.500	278.000
187	325.071	304.058
188	427.500	286.000
189	423.500	286.500
190	418.184	314.879
191	419.500	291.500
192	237.643	303.786
193	425.500	306.000
194	241.500	307.000
195	429.500	306.500
196	237.500	307.500
197	423.500	308.500
198	428.500	309.000
199	426.500	309.500
200	240.318	312.136
201	427.500	312.500
202	429.500	313.500
203	241.500	315.833
204	431.500	316.500
205	344.500	319.500
206	429.500	321.000
207	428.500	324.500
208	427.000	332.000
209	416.500	342.000
210	420.700	344.980
211	416.000	346.500
212	368.000	347.500
213	364.500	348.500
214	417.500	348.500
215	362.786	351.214
216	367.833	350.167
217	415.500	349.500
218	331.376	359.362
219	421.500	350.500
220	355.500	352.000
221	357.409	354.045
222	417.500	351.500
223	327.500	352.500
224	366.000	352.500
225	419.000	354.000
226	361.500	355.167
227	298.833	356.500
228	365.500	355.500
229	301.833	358.500
230	356.667	358.000
231	305.500	358.500
232	353.500	360.000
233	306.000	361.000
234	308.500	362.500
235	320.500	366.500
236	326.500	366.500
237	337.000	367.500
238	340.500	370.500
239	349.680	382.524
240	319.410	424.096
241	356.500	386.500
242	342.500	389.500
243	327.500	400.500
244	332.967	403.367
245	325.000	402.000
246	325.500	404.500
247	446.955	450.491
248	230.333	447.083
249	212.500	451.500
250	237.500	453.500
251	245.763	456.500
252	207.500	455.500
253	201.423	458.038
254	190.783	470.104
255	322.774	472.659
