 	X	Y
1	257.020	421.333
2	417.000	427.000
3	414.500	428.500
4	412.000	430.000
5	409.500	431.500
6	403.000	435.000
7	376.500	444.500
8	308.500	445.700
9	371.500	446.167
10	313.500	446.500
11	368.500	447.000
12	319.500	447.500
13	364.900	447.900
14	359.000	448.500
15	322.191	297.719
16	336.000	293.250
17	338.378	429.075
18	319.929	74.929
19	308.500	75.500
20	298.238	144.399
21	359.500	79.500
22	345.000	84.000
23	315.500	86.500
24	271.500	87.500
25	273.500	87.500
26	263.500	91.500
27	260.500	95.500
28	337.500	95.500
29	322.500	98.500
30	339.000	101.000
31	323.500	100.500
32	318.500	101.500
33	313.525	120.211
34	287.500	111.500
35	293.500	111.500
36	290.500	112.500
37	314.500	112.500
38	288.500	113.500
39	338.500	114.500
40	309.500	117.500
41	315.500	117.500
42	334.500	118.500
43	342.500	118.500
44	281.500	120.500
45	318.500	120.500
46	332.500	120.500
47	335.500	120.500
48	280.500	122.500
49	337.000	125.000
50	333.500	124.000
51	284.500	124.500
52	286.500	126.000
53	280.500	127.000
54	283.500	126.500
55	310.500	126.500
56	334.500	127.500
57	304.038	135.865
58	351.500	129.500
59	277.250	132.500
60	374.500	131.500
61	288.500	132.500
62	315.974	156.563
63	315.500	134.500
64	327.500	134.500
65	291.500	135.500
66	276.500	136.500
67	314.500	137.500
68	321.500	137.643
69	278.500	140.500
70	320.500	140.500
71	345.500	141.500
72	365.500	140.500
73	246.500	142.500
74	249.500	147.786
75	322.500	142.500
76	232.500	143.500
77	237.500	143.500
78	325.000	143.500
79	343.833	144.500
80	245.500	144.500
81	351.500	145.500
82	274.500	145.500
83	386.688	151.125
84	244.500	147.000
85	316.500	146.500
86	323.500	146.500
87	226.375	150.000
88	332.000	147.500
89	389.500	147.500
90	336.500	148.500
91	334.500	149.500
92	352.500	149.500
93	230.500	150.500
94	392.500	152.300
95	339.000	153.250
96	397.000	153.000
97	228.500	153.500
98	356.000	155.000
99	270.500	157.500
100	244.500	159.500
101	221.500	160.500
102	356.500	160.500
103	336.500	161.500
104	341.500	161.500
105	388.500	161.500
106	270.000	162.500
107	369.500	162.500
108	352.500	163.500
109	367.500	163.500
110	357.500	164.500
111	344.500	165.500
112	221.500	167.500
113	310.500	167.500
114	328.500	167.500
115	394.500	167.500
116	400.500	168.500
117	224.500	169.500
118	404.324	175.559
119	219.500	170.500
120	326.500	170.500
121	369.500	170.500
122	223.500	171.500
123	230.460	174.300
124	244.881	173.071
125	367.500	171.500
126	362.500	172.500
127	405.500	172.500
128	222.500	173.500
129	272.500	173.500
130	322.500	173.500
131	290.000	179.182
132	281.500	175.500
133	404.900	180.633
134	293.167	176.833
135	270.500	177.500
136	285.500	178.500
137	443.500	178.500
138	359.500	181.500
139	359.000	184.000
140	288.000	185.000
141	339.500	184.500
142	361.500	184.500
143	367.500	184.500
144	415.000	185.000
145	285.218	191.570
146	354.500	185.500
147	419.583	196.062
148	417.500	185.500
149	288.500	187.500
150	339.500	188.000
151	235.000	189.000
152	420.000	191.000
153	327.611	237.321
154	295.500	192.500
155	413.500	193.500
156	363.500	194.500
157	369.500	194.500
158	217.500	195.500
159	290.500	195.500
160	415.500	196.500
161	281.143	199.500
162	426.000	198.000
163	285.500	199.500
164	275.500	200.500
165	336.500	201.500
166	279.500	202.500
167	438.500	202.500
168	445.000	204.500
169	441.500	205.500
170	431.500	206.500
171	436.500	206.500
172	450.500	206.500
173	441.424	215.025
174	342.500	211.500
175	357.500	214.500
176	369.000	215.000
177	361.500	215.500
178	357.500	216.500
179	374.500	216.500
180	339.000	218.000
181	379.500	218.500
182	213.500	219.500
183	351.500	220.500
184	437.500	220.500
185	342.500	221.500
186	344.500	222.500
187	349.500	222.500
188	383.500	224.500
189	381.500	225.500
190	385.500	225.500
191	284.500	226.500
192	287.000	226.500
193	335.500	229.000
194	380.000	227.000
195	337.500	228.000
196	382.500	228.500
197	228.500	229.500
198	280.500	231.000
199	299.500	232.500
200	439.175	244.018
201	221.500	237.500
202	277.500	244.500
203	367.500	245.500
204	223.500	247.500
205	366.500	248.500
206	367.500	250.500
207	366.500	258.500
208	311.500	261.500
209	290.000	266.000
210	296.500	265.500
211	292.500	266.500
212	327.072	299.058
213	360.500	288.500
214	239.000	294.500
215	240.000	296.500
216	241.000	298.500
217	328.500	298.500
218	313.500	299.500
219	243.167	302.167
220	244.500	307.500
221	247.357	309.357
222	301.000	311.500
223	415.500	312.833
224	248.500	314.000
225	250.500	313.500
226	416.214	318.643
227	248.500	317.500
228	249.500	319.500
229	418.500	321.500
230	416.250	326.000
231	335.500	330.500
232	337.500	330.500
233	417.500	342.866
234	354.000	354.000
235	337.833	357.500
236	350.500	356.500
237	348.500	357.500
238	418.500	357.500
239	345.500	358.500
240	338.600	424.708
241	455.944	426.833
242	448.500	430.500
243	459.500	432.500
244	224.500	434.500
245	461.000	435.000
246	222.000	436.000
247	465.000	440.400
248	236.000	445.000
249	216.000	446.000
250	249.853	451.735
251	210.500	450.500
252	474.654	452.577
253	206.500	453.500
254	424.000	453.000
255	418.500	455.643
256	203.500	455.500
257	201.500	456.500
258	407.500	460.500
259	405.500	461.500
260	389.382	467.500
261	293.000	469.500
262	301.423	471.192
263	309.500	473.500
264	359.778	474.833
265	333.911	475.518
266	495.500	476.500
267	187.214	478.214
