 	X	Y
1	345.500	249.500
2	347.333	255.194
3	349.000	252.500
4	340.500	252.500
5	359.500	264.500
6	319.836	306.773
7	253.500	83.500
8	325.667	90.833
9	298.500	90.500
10	321.250	91.750
11	336.000	91.000
12	303.500	91.500
13	311.900	92.600
14	299.500	92.500
15	338.500	92.500
16	340.500	93.500
17	293.500	94.500
18	345.000	95.000
19	346.500	96.500
20	289.500	97.500
21	296.500	97.500
22	344.500	97.500
23	365.160	107.493
24	294.500	98.500
25	360.500	98.500
26	269.500	99.500
27	286.000	100.000
28	291.500	100.500
29	289.500	101.500
30	364.500	101.500
31	372.500	105.500
32	248.500	109.500
33	359.000	110.500
34	361.000	112.000
35	363.500	111.500
36	367.500	111.833
37	244.000	114.000
38	370.167	113.500
39	366.500	114.500
40	373.833	115.500
41	371.000	118.000
42	237.500	118.500
43	241.500	118.500
44	374.500	122.500
45	237.500	123.500
46	386.500	123.500
47	224.500	124.500
48	235.500	124.500
49	227.967	128.700
50	373.500	126.500
51	387.500	127.500
52	223.500	127.500
53	232.071	129.929
54	377.000	128.000
55	221.500	128.500
56	373.000	129.500
57	221.000	131.000
58	379.500	130.500
59	382.500	130.500
60	402.688	153.459
61	377.000	132.500
62	386.000	132.000
63	220.000	134.000
64	372.500	133.500
65	374.833	134.167
66	381.500	133.500
67	383.500	133.500
68	387.500	133.500
69	229.500	134.500
70	379.000	135.000
71	393.000	135.000
72	382.000	135.500
73	385.000	135.500
74	227.500	136.500
75	373.500	136.500
76	376.167	136.833
77	379.833	137.833
78	384.826	142.384
79	226.500	139.500
80	377.000	140.500
81	379.000	144.000
82	229.500	147.500
83	388.500	147.500
84	390.500	149.000
85	229.000	150.000
86	221.500	151.500
87	226.500	151.500
88	230.500	151.500
89	232.500	151.500
90	228.500	152.500
91	393.500	152.500
92	229.500	154.500
93	232.000	154.500
94	230.500	157.500
95	222.500	158.500
96	233.500	158.500
97	229.500	159.500
98	401.500	160.500
99	403.000	163.000
100	406.500	167.500
101	411.500	170.000
102	413.667	172.000
103	420.500	172.500
104	352.500	173.500
105	344.000	174.500
106	324.983	278.228
107	417.000	174.750
108	334.500	175.500
109	415.500	176.500
110	422.500	178.000
111	354.500	179.500
112	356.500	179.500
113	420.700	181.500
114	357.500	181.500
115	425.500	182.500
116	259.500	183.500
117	371.500	183.500
118	269.500	184.500
119	426.500	185.000
120	255.000	186.000
121	277.500	185.500
122	420.500	185.500
123	422.500	185.500
124	315.500	187.500
125	423.500	187.500
126	427.500	188.000
127	316.500	189.500
128	425.500	190.500
129	287.000	190.500
130	293.500	192.500
131	252.500	195.500
132	429.500	195.500
133	429.500	197.500
134	431.500	199.500
135	427.500	201.500
136	429.500	201.500
137	432.500	201.500
138	435.500	202.167
139	436.435	221.156
140	316.500	206.500
141	427.500	208.000
142	297.500	219.500
143	278.500	233.500
144	358.500	235.500
145	317.000	240.500
146	298.500	241.500
147	308.500	241.500
148	376.500	244.500
149	289.500	245.500
150	401.750	283.000
151	402.500	289.500
152	406.500	290.500
153	408.500	296.000
154	317.978	302.515
155	405.500	304.000
156	404.500	307.000
157	429.000	316.500
158	427.500	318.500
159	398.500	321.500
160	427.500	322.500
161	397.500	323.500
162	399.500	324.500
163	424.500	324.500
164	428.750	325.500
165	396.500	325.500
166	398.500	326.500
167	425.875	328.500
168	395.500	327.500
169	396.500	329.500
170	427.500	331.500
171	429.500	331.500
172	259.900	396.336
173	258.500	370.500
174	336.500	374.500
175	307.500	375.500
176	339.500	375.500
177	335.000	376.500
178	328.500	377.500
179	337.500	377.500
180	333.000	378.500
181	344.000	378.500
182	304.000	382.000
183	348.500	381.500
184	354.500	387.500
185	408.500	389.500
186	408.500	391.833
187	354.500	393.500
188	407.500	393.500
189	356.500	394.500
190	406.250	396.250
191	408.500	395.500
192	305.000	397.000
193	312.000	397.500
194	408.500	397.500
195	302.000	400.000
196	310.833	399.389
197	404.500	399.000
198	354.500	400.500
199	317.500	401.500
200	383.999	436.882
201	310.500	402.500
202	399.500	403.500
203	319.500	404.500
204	327.500	410.500
205	297.500	412.000
206	335.667	417.933
207	298.500	415.000
208	392.500	414.500
209	276.500	419.500
210	266.500	422.500
211	277.300	424.100
212	278.500	426.500
213	276.500	427.500
214	334.500	428.500
215	281.500	429.500
216	338.500	429.500
217	382.500	430.500
218	334.500	433.500
219	332.000	434.750
220	338.500	434.500
221	378.000	436.333
222	328.500	436.500
223	335.413	437.674
224	325.000	439.750
225	332.350	442.575
226	295.500	440.500
227	297.500	440.500
228	372.500	440.500
229	323.500	441.500
230	368.500	441.500
231	374.500	441.500
232	321.500	442.500
233	341.500	442.500
234	319.500	443.500
235	337.500	443.900
236	363.500	443.500
237	327.500	444.500
238	339.931	448.500
239	357.500	444.500
240	326.635	451.662
241	362.500	445.500
242	311.500	446.750
243	345.618	453.909
244	362.500	447.500
245	316.833	449.167
246	360.000	448.500
247	360.500	450.700
248	314.500	450.500
249	320.500	454.500
250	356.500	457.000
251	371.500	456.500
252	326.500	457.500
253	328.500	457.500
254	356.500	459.500
