 	X	Y
1	328.413	282.500
2	317.500	281.500
3	321.500	283.500
4	327.128	307.550
5	323.033	300.300
6	332.700	300.100
7	338.944	299.944
8	420.062	219.169
9	222.136	224.388
10	325.494	266.323
11	337.500	215.500
12	316.500	221.500
13	351.500	269.500
14	355.000	270.000
15	350.500	271.500
16	346.100	320.300
17	344.833	323.833
18	346.583	328.896
19	342.500	325.500
20	318.500	327.500
21	332.000	329.500
22	339.500	331.500
23	313.000	34.000
24	318.833	35.167
25	299.500	35.500
26	303.500	35.500
27	310.853	37.029
28	322.500	36.500
29	315.576	49.467
30	290.500	38.500
31	292.500	38.500
32	294.500	38.500
33	296.500	39.000
34	320.289	39.132
35	329.542	238.528
36	288.500	39.500
37	339.625	41.500
38	291.500	41.000
39	350.781	57.544
40	280.300	44.600
41	297.333	42.500
42	303.000	48.125
43	316.500	45.500
44	334.204	51.944
45	357.500	52.500
46	357.500	54.500
47	269.500	55.833
48	275.000	56.000
49	364.500	55.500
50	366.500	55.500
51	263.500	56.500
52	327.500	56.500
53	368.500	56.500
54	323.500	57.500
55	339.346	58.500
56	361.500	57.500
57	370.500	57.500
58	277.500	59.500
59	364.500	58.500
60	259.500	59.500
61	300.500	60.000
62	366.500	59.500
63	264.500	60.833
64	323.500	60.500
65	347.000	61.000
66	368.500	60.500
67	374.500	61.500
68	320.500	61.500
69	339.500	61.500
70	343.000	61.500
71	370.500	61.500
72	304.500	62.500
73	318.500	62.500
74	345.500	62.500
75	364.000	63.000
76	252.167	68.625
77	299.500	63.500
78	313.000	63.500
79	367.786	64.929
80	307.500	64.500
81	315.500	64.500
82	319.500	64.500
83	323.000	65.000
84	250.500	65.500
85	313.000	65.500
86	317.500	65.500
87	364.500	67.389
88	378.500	65.500
89	307.500	66.500
90	315.500	66.500
91	371.500	66.500
92	313.500	67.500
93	373.500	67.500
94	380.500	67.500
95	317.500	68.500
96	321.000	69.000
97	325.167	71.000
98	360.500	68.500
99	299.000	71.000
100	329.167	71.000
101	370.500	70.500
102	322.500	71.500
103	372.500	71.500
104	368.500	72.500
105	374.500	72.500
106	389.900	74.300
107	250.500	73.500
108	295.500	73.500
109	324.500	74.500
110	360.500	73.500
111	370.500	73.500
112	376.500	73.500
113	298.500	74.500
114	330.000	74.500
115	372.500	74.500
116	385.000	75.000
117	247.357	78.214
118	359.500	75.500
119	364.500	75.500
120	374.500	75.500
121	243.071	78.357
122	367.000	76.500
123	372.500	76.500
124	279.591	80.364
125	370.000	77.500
126	389.917	80.167
127	247.289	84.395
128	372.500	78.500
129	253.500	79.500
130	397.500	79.500
131	402.200	86.000
132	398.500	83.000
133	239.500	83.500
134	243.000	84.500
135	271.500	83.500
136	299.500	84.500
137	314.500	84.500
138	318.500	84.500
139	238.500	86.167
140	268.500	85.500
141	320.500	85.500
142	255.500	86.500
143	272.500	86.500
144	275.500	86.500
145	249.500	87.500
146	264.000	88.000
147	270.500	87.500
148	238.500	88.500
149	246.500	88.500
150	344.500	88.500
151	264.500	90.500
152	267.500	90.500
153	261.500	91.500
154	404.000	92.000
155	236.500	93.500
156	240.000	94.000
157	355.500	93.500
158	361.500	93.500
159	400.500	94.500
160	235.500	95.500
161	234.500	97.500
162	241.500	97.500
163	233.500	99.500
164	229.500	103.750
165	232.000	102.500
166	229.000	107.500
167	225.500	116.500
168	367.500	117.500
169	375.500	117.500
170	379.500	118.500
171	416.227	121.955
172	383.000	121.000
173	271.500	124.000
174	380.500	125.500
175	383.500	125.500
176	244.500	126.500
177	249.500	126.500
178	272.500	126.500
179	385.000	127.500
180	258.500	127.500
181	270.500	127.500
182	382.500	127.500
183	239.500	130.000
184	378.500	130.500
185	386.500	129.500
186	334.500	131.500
187	383.500	133.000
188	387.500	132.000
189	343.500	132.500
190	270.500	133.500
191	415.500	134.500
192	240.500	136.500
193	345.500	135.500
194	379.500	136.500
195	340.500	139.500
196	344.500	140.500
197	379.750	142.000
198	348.500	141.500
199	250.000	143.000
200	385.000	143.000
201	247.167	144.167
202	349.500	143.500
203	380.929	146.500
204	345.500	144.500
205	347.500	145.500
206	350.500	145.500
207	376.500	146.000
208	378.500	147.000
209	386.500	146.000
210	388.900	150.200
211	249.833	147.833
212	360.500	147.500
213	362.500	147.500
214	254.000	152.000
215	263.200	151.500
216	244.500	149.500
217	385.500	150.000
218	247.500	150.500
219	375.500	150.500
220	383.500	152.000
221	250.000	152.500
222	361.500	153.500
223	243.500	154.500
224	229.500	164.500
225	390.500	164.500
226	239.500	165.500
227	386.500	166.500
228	367.500	169.500
229	407.000	171.000
230	229.500	197.500
231	225.092	231.347
232	228.500	199.500
233	230.500	199.500
234	248.500	241.500
235	397.500	262.500
236	399.500	264.500
237	402.500	264.500
238	407.500	264.500
239	316.000	268.000
240	318.500	269.000
241	400.500	268.500
242	399.500	270.500
243	398.500	281.500
244	397.500	283.500
245	256.500	288.500
246	335.198	292.230
247	358.500	289.500
248	257.500	294.500
249	393.500	306.000
250	262.500	309.500
251	262.500	320.500
252	263.500	323.500
253	320.500	324.500
254	347.500	327.500
255	327.500	329.500
256	283.500	333.500
257	291.500	333.500
258	291.500	335.500
259	384.500	335.500
260	283.500	336.500
261	383.500	337.500
262	264.500	338.500
263	385.500	345.500
264	384.500	353.500
265	288.500	378.500
266	385.850	386.150
267	292.500	381.500
268	294.500	382.500
269	383.275	389.850
270	306.500	387.500
271	311.500	392.500
272	396.500	406.500
273	390.500	408.500
274	389.500	411.000
275	396.000	419.000
276	399.000	421.500
277	399.500	423.500
278	322.500	425.500
279	399.500	425.500
280	398.000	428.000
281	327.500	438.500
282	330.500	440.500
283	335.500	442.500
284	333.500	443.500
285	371.500	447.500
