 	X	Y
1	328.391	302.557
2	344.000	188.000
3	339.500	190.500
4	341.500	190.500
5	343.500	192.500
6	420.449	224.996
7	330.374	270.296
8	331.500	208.500
9	333.500	211.500
10	335.500	213.500
11	222.491	232.823
12	339.500	219.000
13	351.500	330.500
14	330.500	338.500
15	330.190	231.800
16	323.500	37.500
17	281.500	43.500
18	334.500	53.375
19	275.643	53.929
20	276.000	56.500
21	376.000	61.000
22	344.500	64.500
23	375.500	64.500
24	324.214	70.262
25	342.500	67.500
26	380.500	67.500
27	316.500	68.500
28	339.167	69.500
29	378.500	69.000
30	314.000	69.500
31	310.000	70.500
32	320.667	71.000
33	336.500	73.500
34	357.062	79.125
35	325.000	76.000
36	333.000	75.500
37	319.500	76.500
38	322.000	78.000
39	335.500	77.500
40	330.500	78.500
41	279.417	80.750
42	324.500	79.500
43	318.500	80.500
44	326.500	80.500
45	353.000	81.000
46	329.500	81.500
47	272.500	82.500
48	321.000	84.000
49	356.000	83.000
50	277.000	84.500
51	284.500	84.500
52	272.500	85.500
53	358.500	85.500
54	376.000	86.000
55	285.500	87.000
56	327.000	86.500
57	234.500	88.500
58	274.500	88.500
59	282.500	88.500
60	271.500	89.500
61	341.000	89.500
62	350.000	90.500
63	411.000	90.500
64	278.500	91.500
65	411.500	92.500
66	234.500	94.000
67	276.500	93.833
68	357.500	95.500
69	412.500	96.000
70	229.500	103.500
71	228.500	105.500
72	413.500	105.500
73	413.500	108.500
74	414.500	110.500
75	227.500	114.000
76	224.500	141.000
77	244.500	148.312
78	254.500	155.000
79	240.500	155.500
80	248.500	156.500
81	384.500	159.500
82	381.500	161.500
83	241.500	162.500
84	384.500	163.500
85	382.500	164.500
86	406.500	173.500
87	233.833	179.833
88	232.500	184.500
89	226.418	240.868
90	248.500	214.500
91	250.500	236.500
92	315.000	253.500
93	242.500	255.500
94	245.500	256.500
95	243.500	258.500
96	256.500	258.500
97	246.500	259.500
98	244.500	260.500
99	244.500	266.500
100	246.500	270.500
101	330.389	274.389
102	271.500	278.500
103	272.500	280.500
104	326.500	280.500
105	274.500	288.500
106	259.289	304.658
107	394.500	306.500
108	393.500	310.500
109	343.500	321.500
110	345.500	321.000
111	337.167	323.500
112	341.500	322.500
113	334.500	324.500
114	339.500	324.500
115	260.500	326.500
116	335.500	326.500
117	338.500	327.500
118	330.000	329.000
119	332.500	329.500
120	333.500	332.500
121	335.500	332.500
122	342.000	337.000
123	387.500	338.500
124	276.500	374.000
125	285.500	381.500
126	284.125	402.375
127	281.833	404.278
128	293.500	401.500
129	290.500	403.500
130	400.400	407.600
131	295.500	404.500
132	290.000	407.250
133	280.500	407.500
134	290.278	415.667
135	301.500	410.500
136	300.500	413.500
137	314.500	416.500
138	316.500	416.500
139	294.500	418.500
140	313.500	420.500
141	294.500	423.500
142	314.500	423.500
143	403.500	423.500
144	305.500	449.000
145	291.500	451.000
146	286.000	452.500
147	288.500	452.500
148	293.167	453.833
149	327.500	453.500
150	329.500	453.500
151	331.500	453.500
152	343.500	453.500
153	290.167	454.833
154	297.500	454.500
155	300.500	454.500
156	326.000	455.000
157	305.500	456.500
