 	X	Y
1	319.407	289.404
2	312.500	61.500
3	370.500	85.500
4	312.000	90.000
5	367.500	89.500
6	306.500	90.500
7	369.167	92.500
8	320.250	93.250
9	313.458	213.518
10	328.500	94.000
11	298.500	96.000
12	302.500	96.500
13	294.500	98.500
14	342.500	101.500
15	349.500	104.500
16	357.000	105.500
17	289.000	106.000
18	351.500	105.500
19	364.500	106.500
20	286.500	109.500
21	365.000	110.500
22	367.500	111.500
23	276.500	117.500
24	377.500	120.500
25	380.000	121.500
26	383.500	121.500
27	388.000	122.000
28	266.500	124.500
29	380.000	125.000
30	381.000	129.000
31	387.000	129.000
32	259.833	132.833
33	385.700	134.500
34	387.500	138.500
35	257.500	147.500
36	246.500	152.500
37	396.500	159.000
38	397.500	162.500
39	218.667	171.000
40	262.500	168.500
41	371.500	168.500
42	261.000	171.500
43	370.100	172.700
44	273.000	183.500
45	236.500	185.500
46	234.500	188.500
47	232.500	191.500
48	210.500	200.500
49	322.177	210.349
50	219.000	204.000
51	330.500	201.500
52	338.500	206.500
53	334.500	207.500
54	416.500	212.500
55	384.500	213.500
56	419.500	213.500
57	390.500	216.500
58	420.500	217.000
59	418.500	217.500
60	315.500	218.500
61	421.500	220.000
62	395.500	221.000
63	212.500	221.500
64	219.500	221.500
65	422.500	222.500
66	210.500	223.500
67	217.500	227.000
68	209.500	225.500
69	423.500	225.500
70	424.500	227.500
71	425.500	229.500
72	275.300	232.500
73	279.500	230.500
74	426.500	231.500
75	277.000	234.000
76	214.955	239.500
77	426.500	235.500
78	209.500	236.500
79	398.500	237.500
80	427.500	238.500
81	210.500	238.500
82	429.500	240.500
83	426.500	242.500
84	212.000	246.000
85	297.000	246.000
86	428.500	247.000
87	295.500	248.500
88	197.500	253.000
89	430.500	249.500
90	429.500	252.500
91	199.500	256.000
92	430.500	256.500
93	202.500	257.500
94	200.500	259.500
95	431.500	260.500
96	198.500	264.500
97	196.500	265.500
98	432.500	263.500
99	203.808	268.038
100	207.500	264.500
101	434.000	266.000
102	208.500	266.500
103	434.500	269.000
104	195.500	271.000
105	199.500	271.500
106	435.833	271.833
107	208.000	276.000
108	201.000	276.000
109	436.167	275.611
110	203.500	276.000
111	196.500	277.500
112	437.417	283.125
113	202.500	281.000
114	217.500	280.500
115	204.500	282.000
116	218.500	282.500
117	401.500	282.500
118	224.722	289.722
119	205.500	290.000
120	208.500	289.500
121	212.417	291.333
122	219.500	290.167
123	436.750	293.250
124	191.500	294.500
125	200.000	294.500
126	210.318	304.061
127	209.500	295.500
128	395.500	295.500
129	198.912	300.853
130	436.000	296.500
131	188.500	298.500
132	395.500	298.500
133	434.500	298.500
134	191.500	299.500
135	433.500	300.500
136	192.000	301.500
137	187.500	301.500
138	233.500	302.500
139	420.721	310.422
140	433.000	303.000
141	188.500	303.500
142	186.500	304.500
143	232.500	305.500
144	236.500	305.500
145	188.500	306.500
146	230.500	306.500
147	185.500	307.500
148	228.500	307.500
149	233.500	307.500
150	237.500	307.500
151	187.500	308.500
152	195.500	308.500
153	202.500	309.000
154	374.500	308.500
155	200.500	309.500
156	190.500	310.500
157	230.500	310.500
158	431.500	311.500
159	191.500	312.833
160	194.500	312.500
161	203.500	312.500
162	232.500	312.500
163	188.500	313.500
164	201.500	314.000
165	425.767	316.300
166	259.500	314.500
167	187.500	315.500
168	204.500	315.500
169	420.000	315.500
170	429.219	325.906
171	196.500	316.500
172	185.500	319.000
173	206.500	317.500
174	360.000	318.000
175	202.500	318.500
176	335.500	318.500
177	413.500	318.500
178	416.500	318.500
179	188.500	319.500
180	362.500	319.500
181	420.719	322.688
182	197.500	320.500
183	360.500	320.500
184	181.000	321.500
185	179.588	331.605
186	331.500	321.500
187	182.878	349.376
188	364.000	322.750
189	180.500	323.500
190	199.071	328.286
191	236.000	324.000
192	200.500	324.500
193	368.500	324.500
194	177.500	325.500
195	365.500	325.500
196	177.000	327.500
197	201.500	327.500
198	416.375	329.000
199	411.000	329.000
200	176.000	329.500
201	424.929	334.024
202	175.000	331.500
203	202.500	332.500
204	415.500	331.500
205	426.243	348.662
206	420.192	334.885
207	181.500	335.500
208	199.500	338.000
209	173.000	337.500
210	432.500	337.500
211	180.500	338.500
212	208.500	339.000
213	415.565	351.889
214	201.500	340.000
215	430.500	339.500
216	171.500	340.500
217	179.500	341.500
218	427.500	341.500
219	438.500	341.500
220	170.500	342.500
221	431.500	342.500
222	228.500	344.500
223	195.500	346.000
224	221.375	349.000
225	432.500	345.500
226	434.500	346.500
227	441.000	347.000
228	203.500	348.000
229	225.700	348.700
230	198.500	350.500
231	206.500	349.000
232	426.000	348.500
233	437.500	348.500
234	200.500	349.500
235	174.731	355.192
236	442.000	351.000
237	196.500	352.000
238	208.167	352.500
239	165.269	357.885
240	181.547	372.003
241	190.943	360.129
242	204.500	353.500
243	212.500	353.500
244	451.000	354.000
245	179.500	355.000
246	199.962	360.500
247	209.167	356.500
248	203.500	357.000
249	211.500	356.500
250	216.045	360.682
251	454.500	356.500
252	162.500	357.500
253	178.500	358.000
254	205.500	357.500
255	226.500	357.500
256	210.167	359.500
257	424.000	359.000
258	457.500	358.500
259	161.500	359.500
260	202.500	359.500
261	160.000	361.000
262	166.786	363.500
263	177.000	361.000
264	204.500	361.500
265	219.500	360.500
266	460.500	360.500
267	206.500	362.000
268	211.500	361.500
269	422.500	361.500
270	462.500	361.500
271	220.500	362.500
272	421.500	363.500
273	467.500	363.500
274	210.500	365.000
275	212.500	364.500
276	215.500	364.500
277	222.000	365.000
278	159.500	371.312
279	418.500	365.500
280	155.500	366.500
281	226.500	366.500
282	154.500	368.500
283	163.500	368.500
284	206.500	370.000
285	213.500	368.500
286	464.500	368.500
287	199.500	370.000
288	466.500	369.500
289	165.000	371.000
290	219.000	371.000
291	462.500	370.500
292	469.500	370.500
293	465.000	371.500
294	471.500	371.500
295	223.000	372.500
296	470.000	373.667
297	473.500	372.500
298	217.833	379.550
299	161.500	375.500
300	466.367	376.933
301	205.500	376.000
302	477.000	377.500
303	498.500	375.500
304	488.500	377.500
305	496.157	386.286
306	512.500	376.500
307	157.167	378.500
308	471.885	380.885
309	493.500	377.500
310	504.500	377.500
311	185.500	378.500
312	511.500	379.000
313	513.500	378.500
314	515.500	378.500
315	153.500	380.500
316	181.000	379.500
