 	X	Y
1	354.787	225.606
2	346.000	228.500
3	364.500	230.000
4	324.712	236.682
5	314.500	234.500
6	316.500	234.500
7	319.500	239.500
8	321.500	238.500
9	321.500	240.500
10	324.500	243.500
11	323.500	245.500
12	325.145	260.132
13	317.500	251.500
14	365.500	263.000
15	370.500	262.500
16	368.500	264.500
17	367.875	268.792
18	281.500	266.500
19	283.500	266.500
20	281.500	268.500
21	284.500	269.700
22	282.500	272.500
23	334.786	290.965
24	281.500	274.500
25	284.500	274.500
26	292.000	283.500
27	295.000	285.750
28	278.500	35.500
29	273.500	38.500
30	275.500	38.500
31	354.000	38.500
32	359.700	40.500
33	271.500	39.500
34	356.100	41.100
35	269.500	40.500
36	362.500	40.500
37	364.500	40.500
38	365.500	42.500
39	367.500	42.500
40	353.500	43.500
41	351.500	44.500
42	357.500	44.500
43	321.900	63.256
44	345.500	45.500
45	313.000	46.500
46	352.500	46.500
47	300.500	47.500
48	292.500	48.500
49	373.500	48.500
50	378.500	48.500
51	375.500	49.500
52	373.500	54.500
53	378.500	55.500
54	262.500	56.500
55	382.000	59.000
56	257.500	59.500
57	263.500	59.500
58	267.500	59.500
59	348.000	62.500
60	259.500	63.500
61	355.833	64.167
62	317.000	66.500
63	253.500	67.500
64	255.500	67.500
65	398.500	74.500
66	244.000	76.500
67	399.500	77.500
68	265.500	78.500
69	386.500	78.500
70	390.500	80.500
71	405.500	83.000
72	400.000	88.000
73	240.700	89.100
74	241.500	91.500
75	244.500	92.500
76	237.500	93.500
77	241.500	93.500
78	412.500	94.500
79	408.500	95.500
80	410.500	95.500
81	413.500	97.500
82	413.167	101.500
83	415.071	103.643
84	416.167	108.833
85	419.331	121.602
86	414.500	123.500
87	413.500	125.500
88	416.000	127.500
89	297.000	132.000
90	414.500	131.500
91	416.500	132.500
92	419.500	133.000
93	290.500	133.500
94	421.500	134.500
95	418.500	135.500
96	295.000	137.000
97	417.500	137.500
98	420.500	138.750
99	322.500	140.500
100	319.500	141.500
101	421.000	142.000
102	423.500	142.500
103	319.000	145.000
104	422.500	144.500
105	316.500	145.500
106	323.000	145.500
107	293.500	147.500
108	323.171	230.795
109	421.500	146.500
110	353.500	147.500
111	299.500	149.500
112	296.500	150.500
113	299.500	151.500
114	425.500	152.500
115	323.500	159.500
116	397.500	161.500
117	323.500	163.000
118	430.900	165.900
119	433.333	174.833
120	431.500	174.000
121	435.500	175.000
122	438.660	207.383
123	430.500	178.500
124	396.500	186.000
125	245.000	188.000
126	305.500	193.500
127	250.500	194.500
128	215.662	214.058
129	304.500	195.500
130	428.500	198.500
131	301.500	201.500
132	378.500	204.500
133	393.500	266.500
134	361.500	279.500
135	305.500	288.500
136	388.000	294.500
137	390.500	299.000
138	334.500	340.500
139	338.500	340.500
140	349.000	340.500
141	335.500	342.500
142	317.500	346.500
143	331.500	346.500
144	351.500	346.500
145	328.000	348.333
146	406.754	370.698
147	406.500	348.500
148	326.143	352.500
149	332.833	352.500
150	315.500	353.500
151	321.643	355.071
152	317.500	356.500
153	327.000	356.500
154	403.500	371.500
155	258.500	374.500
156	401.500	377.000
157	259.500	377.500
158	260.500	380.500
159	400.250	382.750
160	262.167	384.500
161	263.500	389.000
162	136.500	407.500
163	131.500	408.500
164	135.682	414.545
165	137.833	410.167
166	142.500	409.500
167	131.500	412.000
168	121.500	416.500
169	127.500	416.500
170	137.500	418.500
171	132.500	421.500
172	585.645	448.416
173	550.829	472.466
174	594.500	463.500
