 	X	Y
1	337.037	322.717
2	332.214	63.929
3	337.167	65.500
4	339.500	64.500
5	328.500	66.500
6	325.500	67.500
7	333.000	67.500
8	327.500	68.500
9	338.500	68.500
10	313.500	69.500
11	315.500	69.500
12	324.500	69.500
13	327.500	70.500
14	348.611	101.611
15	354.786	100.786
16	344.250	102.333
17	322.000	101.500
18	324.500	101.500
19	329.500	102.500
20	337.000	104.125
21	361.000	102.500
22	364.900	104.100
23	317.500	103.500
24	324.500	103.500
25	285.500	104.500
26	319.500	104.500
27	274.500	105.500
28	277.000	106.000
29	282.500	105.500
30	311.605	109.921
31	317.700	107.500
32	398.548	134.326
33	283.333	107.667
34	291.500	106.500
35	326.000	106.500
36	277.500	108.300
37	287.333	108.500
38	295.929	108.214
39	310.500	107.500
40	320.500	108.000
41	336.500	107.500
42	273.500	108.500
43	338.500	108.500
44	291.500	109.500
45	271.500	110.500
46	274.500	110.500
47	315.500	111.167
48	302.500	111.500
49	367.500	111.500
50	370.500	112.833
51	386.500	111.500
52	273.167	113.833
53	314.500	113.500
54	389.500	113.500
55	317.500	114.500
56	391.500	114.500
57	270.500	115.500
58	372.500	115.500
59	271.000	119.600
60	275.500	117.500
61	378.000	119.000
62	264.500	124.500
63	390.750	123.750
64	389.500	126.500
65	407.500	126.500
66	263.500	128.500
67	260.000	129.000
68	389.000	129.000
69	253.318	133.318
70	393.167	131.500
71	245.500	131.500
72	258.000	132.000
73	390.500	131.500
74	242.667	135.000
75	259.278	134.167
76	399.000	132.500
77	402.500	133.500
78	405.500	133.500
79	245.500	134.500
80	395.500	134.500
81	400.000	134.500
82	397.500	135.500
83	403.833	135.833
84	401.500	136.500
85	397.500	137.500
86	245.500	138.500
87	257.500	138.500
88	240.500	139.500
89	243.000	139.500
90	252.500	140.500
91	240.667	142.833
92	255.500	141.500
93	251.500	142.500
94	243.800	148.400
95	250.500	145.000
96	240.962	150.269
97	250.000	148.000
98	253.500	147.500
99	394.500	148.500
100	397.500	152.500
101	248.500	153.500
102	410.000	153.500
103	245.500	155.900
104	427.905	167.171
105	399.500	155.500
106	253.500	156.500
107	246.500	157.500
108	401.500	157.500
109	242.000	159.833
110	248.500	158.500
111	254.500	159.500
112	413.500	160.000
113	248.000	160.500
114	415.500	160.500
115	409.500	161.500
116	417.500	161.500
117	253.500	162.500
118	421.000	164.000
119	242.500	163.500
120	246.500	163.500
121	248.500	163.500
122	416.000	164.000
123	424.750	165.500
124	245.500	166.500
125	248.500	168.500
126	424.000	169.000
127	241.500	169.500
128	240.500	171.500
129	423.500	171.500
130	426.167	172.167
131	239.500	174.500
132	437.500	176.500
133	434.500	179.750
134	431.500	181.500
135	439.500	181.500
136	373.500	185.500
137	370.500	186.500
138	372.063	210.314
139	373.500	188.500
140	353.500	189.500
141	374.500	190.500
142	440.500	192.500
143	347.000	193.500
144	291.115	218.334
145	342.500	194.500
146	281.500	196.500
147	315.500	200.500
148	446.500	201.500
149	334.500	206.500
150	316.500	207.500
151	445.500	211.500
152	268.500	212.500
153	447.500	213.500
154	449.500	213.500
155	451.500	215.500
156	449.500	217.500
157	454.936	235.493
158	455.500	218.500
159	275.500	219.500
160	307.500	233.500
161	346.810	314.351
162	343.500	246.500
163	332.500	258.500
164	410.500	271.500
165	396.500	298.500
166	402.500	305.500
167	407.500	311.500
168	405.500	314.500
169	440.500	334.500
170	438.500	337.500
171	444.500	337.500
172	439.167	340.167
173	442.000	340.000
174	445.500	341.000
175	440.500	342.500
176	441.500	344.500
177	446.500	347.500
178	266.500	368.000
179	269.000	367.500
180	269.259	390.036
181	322.500	370.500
182	326.500	375.500
183	339.500	379.900
184	355.500	379.500
185	276.500	380.500
186	347.000	381.083
187	339.000	382.500
188	344.500	383.500
189	339.500	384.500
190	278.500	390.500
191	424.500	391.500
192	357.793	398.037
193	425.000	395.250
194	347.500	396.500
195	423.000	398.000
196	348.108	406.521
197	357.071	402.582
198	427.000	398.500
199	422.000	402.750
200	424.500	401.500
201	421.500	405.500
202	422.000	408.000
203	419.000	409.000
204	421.500	410.500
205	417.500	411.500
206	275.000	413.000
207	280.500	413.000
208	417.500	413.500
209	419.500	413.500
210	354.500	414.500
211	275.500	415.500
212	415.500	415.500
213	420.500	416.500
214	359.500	417.500
215	415.500	419.125
216	370.270	449.050
217	410.500	423.500
218	407.500	430.500
219	394.500	439.500
220	318.500	446.500
221	331.500	449.500
222	368.000	449.500
223	373.000	450.500
224	322.500	451.500
225	326.500	452.000
226	393.500	453.500
227	327.500	455.500
228	384.500	457.000
229	350.500	462.500
